# addr	region	name  (STT_OBJECT in ROM)
0x08000100	rom	sGFRomHeader
0x082E9530	rom	gGameVersion
0x082E9531	rom	gGameLanguage
0x082E9534	rom	BuildDateTime
0x082E9548	rom	gIntrTableTemplate
0x082E9580	rom	sZeroedBgControlStruct
0x082E9584	rom	sDummyWindowTemplate
0x082E958C	rom	sFontHalfRowOffsets
0x082E968C	rom	sDownArrowTiles
0x082E974C	rom	sDarkDownArrowTiles
0x082E980C	rom	sUnusedFRLGBlankedDownArrow
0x082E9C0C	rom	sUnusedFRLGDownArrow
0x082E9D0C	rom	sDownArrowYCoords
0x082E9D10	rom	sWindowVerticalScrollSpeeds
0x082E9D14	rom	sGlyphWidthFuncs
0x082E9D5C	rom	sKeypadIcons
0x082E9D90	rom	sKeypadIconTiles
0x082EA590	rom	sFontInfos
0x082EA608	rom	sMenuCursorDimensions
0x082EA61C	rom	sFontBoldJapaneseGlyphs
0x082EC61C	rom	sUnknownData
0x082EC634	rom	sCenterToCornerVecTable
0x082EC64C	rom	sDummySprite
0x082EC690	rom	gDummyOamData
0x082EC698	rom	sDummyAnim
0x082EC69C	rom	gDummySpriteAnimTable
0x082EC6A0	rom	sDummyAffineAnim
0x082EC6A8	rom	gDummySpriteAffineAnimTable
0x082EC6AC	rom	gDummySpriteTemplate
0x082EC6C4	rom	sAnimFuncs
0x082EC6CC	rom	sAffineAnimFuncs
0x082EC6D4	rom	sAnimCmdFuncs
0x082EC6E4	rom	sAffineAnimCmdFuncs
0x082EC6F4	rom	sOamDimensions32
0x082EC754	rom	sOamDimensions
0x082EC784	rom	sUnused
0x082EC7C4	rom	gOverworldBackgroundLayerFlags
0x082EC7CC	rom	gOrbEffectBackgroundLayerFlags
0x082EC7D4	rom	sDigits
0x082EC7E4	rom	sPowersOfTen
0x082EC818	rom	funcs.93
0x082EC850	rom	lengths.121
0x082EC86C	rom	sWirelessLinkDisplayPal
0x082EC88C	rom	sWirelessLinkDisplayGfx
0x082ECD34	rom	sWirelessLinkDisplayTilemap
0x082ECF20	rom	sLinkTestDigitsPal
0x082ECF40	rom	sLinkTestDigitsGfx
0x082ED160	rom	sUnusedTransparentWhite
0x082ED168	rom	sCommErrorBg_Gfx
0x082ED1A8	rom	sBlockRequests
0x082ED1D0	rom	sBGControlRegs
0x082ED1D4	rom	sASCIIGameFreakInc
0x082ED1E4	rom	sASCIITestPrint
0x082ED1FC	rom	sLinkErrorBgTemplates
0x082ED204	rom	sLinkErrorWindowTemplates
0x082ED224	rom	sTextColors
0x082ED227	rom	sUnusedData
0x082ED22C	rom	sWirelessLinkIconPalette
0x082ED24C	rom	sWirelessLinkIconPic
0x082ED370	rom	sWireless_ASCIItoRSETable
0x082ED470	rom	sWireless_RSEtoASCIITable
0x082ED570	rom	sWirelessStatusIndicatorOamData
0x082ED578	rom	sWirelessStatusIndicator_3Bars
0x082ED594	rom	sWirelessStatusIndicator_2Bars
0x082ED5A8	rom	sWirelessStatusIndicator_1Bar
0x082ED5B4	rom	sWirelessStatusIndicator_Searching
0x082ED5C0	rom	sWirelessStatusIndicator_Error
0x082ED5CC	rom	sWirelessStatusIndicatorAnims
0x082ED5E0	rom	sWirelessStatusIndicatorSpriteSheet
0x082ED5E8	rom	sWirelessStatusIndicatorSpritePalette
0x082ED5F0	rom	sWirelessStatusIndicatorSpriteTemplate
0x082ED608	rom	sRfuReqConfigTemplate
0x082ED620	rom	sAvailSlots
0x082ED628	rom	sAllBlocksReceived
0x082ED68C	rom	sSlotToLinkPlayerTableId
0x082ED695	rom	sPlayerBitsToCount
0x082ED6A5	rom	sPlayerBitsToNewChildIdx
0x082ED6B8	rom	sBlockRequests
0x082ED6E0	rom	sAcceptedSerialNos
0x082ED6E8	rom	sASCII_RfuCmds
0x082ED78D	rom	sASCII_RecoverCmds
0x082ED7E0	rom	sShutdownTasks
0x082ED7EC	rom	sASCII_PokemonSioInfo
0x082ED7FC	rom	sASCII_LinkLossDisconnect
0x082ED814	rom	sASCII_LinkLossRecoveryNow
0x082ED82C	rom	sASCII_30Spaces
0x082ED84B	rom	sASCII_15Spaces
0x082ED85B	rom	sASCII_8Spaces
0x082ED864	rom	sASCII_Space
0x082ED866	rom	sASCII_Asterisk
0x082ED868	rom	sASCII_NowSlot
0x082ED870	rom	sASCII_ClockCmds
0x082ED8AC	rom	sASCII_ChildParentSearch
0x082ED8C4	rom	sText_EmptyString
0x082ED8C8	rom	sText_Colon
0x082ED8CC	rom	sText_ID
0x082ED8D0	rom	sText_PleaseStartOver
0x082ED8F8	rom	sText_WirelessSearchCanceled
0x082ED934	rom	sText_AwaitingCommunucation2
0x082ED960	rom	sText_AwaitingCommunication
0x082ED990	rom	sText_AwaitingLinkPressStart
0x082ED9C8	rom	sJPText_SingleBattle
0x082ED9D8	rom	sJPText_DoubleBattle
0x082ED9E8	rom	sJPText_MultiBattle
0x082ED9F8	rom	sJPText_TradePokemon
0x082EDA0C	rom	sJPText_Chat
0x082EDA1C	rom	sJPText_DistWonderCard
0x082EDA28	rom	sJPText_DistWonderNews
0x082EDA38	rom	sJPText_DistMysteryEvent
0x082EDA4C	rom	sJPText_HoldPokemonJump
0x082EDA5C	rom	sJPText_HoldBerryCrush
0x082EDA70	rom	sJPText_HoldBerryPicking
0x082EDA80	rom	sJPText_HoldSpinTrade
0x082EDA94	rom	sJPText_HoldSpinShop
0x082EDAA8	rom	sJPLinkGroupActionTexts
0x082EDAE0	rom	sText_1PlayerNeeded
0x082EDAF1	rom	sText_2PlayersNeeded
0x082EDB03	rom	sText_3PlayersNeeded
0x082EDB15	rom	sText_4PlayersNeeded
0x082EDB27	rom	sText_2PlayerMode
0x082EDB35	rom	sText_3PlayerMode
0x082EDB43	rom	sText_4PlayerMode
0x082EDB51	rom	sText_5PlayerMode
0x082EDB60	rom	sPlayersNeededOrModeTexts
0x082EDBC4	rom	sText_BButtonCancel
0x082EDBD0	rom	sJPText_SearchingForParticipants
0x082EDBE8	rom	sText_PlayerContactedYouForXAccept
0x082EDC0C	rom	sText_PlayerContactedYouShareX
0x082EDC34	rom	sText_PlayerContactedYouAddToMembers
0x082EDC5C	rom	sText_AreTheseMembersOK
0x082EDC78	rom	sText_CancelModeWithTheseMembers
0x082EDC9C	rom	sText_AnOKWasSentToPlayer
0x082EDCB4	rom	sText_OtherTrainerUnavailableNow
0x082EDCEC	rom	sText_CantTransmitTrainerTooFar
0x082EDD24	rom	sText_TrainersNotReadyYet
0x082EDD50	rom	sCantTransmitToTrainerTexts
0x082EDD58	rom	sText_ModeWithTheseMembersWillBeCanceled
0x082EDD8C	rom	sText_MemberNoLongerAvailable
0x082EDDC4	rom	sPlayerUnavailableTexts
0x082EDDCC	rom	sText_TrainerAppearsUnavailable
0x082EDDF4	rom	sText_PlayerSentBackOK
0x082EDE0C	rom	sText_PlayerOKdRegistration
0x082EDE34	rom	sText_PlayerRepliedNo
0x082EDE48	rom	sText_AwaitingOtherMembers
0x082EDE64	rom	sText_QuitBeingMember
0x082EDE7C	rom	sText_StoppedBeingMember
0x082EDE9C	rom	sPlayerDisconnectedTexts
0x082EDEC4	rom	sText_WirelessLinkEstablished
0x082EDF04	rom	sText_WirelessLinkDropped
0x082EDF40	rom	sText_LinkWithFriendDropped
0x082EDF6C	rom	sText_PlayerRepliedNo2
0x082EDF80	rom	sLinkDroppedTexts
0x082EDFA8	rom	sText_DoYouWantXMode
0x082EDFC4	rom	sText_DoYouWantXMode2
0x082EDFE0	rom	sDoYouWantModeTexts
0x082EDFE8	rom	sText_CommunicatingPleaseWait
0x082EE004	rom	sText_AwaitingPlayersResponseAboutTrade
0x082EE02C	rom	sText_Communicating
0x082EE098	rom	sText_CommunicatingWithPlayer
0x082EE104	rom	sText_PleaseWaitAWhile
0x082EE17C	rom	sCommunicatingWaitTexts
0x082EE188	rom	sText_HiDoSomethingMale
0x082EE1B8	rom	sText_HiDoSomethingFemale
0x082EE1E0	rom	sText_HiDoSomethingAgainMale
0x082EE218	rom	sText_HiDoSomethingAgainFemale
0x082EE24C	rom	sHiDoSomethingTexts
0x082EE25C	rom	sText_DoSomethingMale
0x082EE274	rom	sText_DoSomethingFemale
0x082EE294	rom	sText_DoSomethingAgainMale
0x082EE2B8	rom	sText_DoSomethingAgainFemale
0x082EE2D8	rom	sDoSomethingTexts
0x082EE2E8	rom	sText_SomebodyHasContactedYou
0x082EE308	rom	sText_PlayerHasContactedYou
0x082EE324	rom	sPlayerContactedYouTexts
0x082EE32C	rom	sText_AwaitingResponseFromTrainer
0x082EE358	rom	sText_AwaitingResponseFromPlayer
0x082EE378	rom	sAwaitingResponseTexts
0x082EE380	rom	sText_ShowTrainerCard
0x082EE3DC	rom	sText_BattleChallenge
0x082EE430	rom	sText_ChatInvitation
0x082EE47C	rom	sText_OfferToTradeMon
0x082EE4F0	rom	sText_OfferToTradeEgg
0x082EE544	rom	sText_ChatDropped
0x082EE560	rom	sText_OfferDeclined1
0x082EE57C	rom	sText_OfferDeclined2
0x082EE598	rom	sText_ChatEnded
0x082EE5B0	rom	sInvitationTexts
0x082EE5C0	rom	sText_JoinChatMale
0x082EE5F8	rom	sText_PlayerJoinChatMale
0x082EE638	rom	sText_JoinChatFemale
0x082EE674	rom	sText_PlayerJoinChatFemale
0x082EE6B8	rom	sJoinChatTexts
